Timestamp;Entity Name;Accelerom. vector X;Accelerom. vector Y;Accelerom. vector Z;CO2;Color Temp.;Light data ALL;Light_Blue;Light_Green;Light_Red;Light_White;NO2;PM2.5;RH;T
2025-03-28 14:12:36;DS-0019;-440;784;-441.5999756;473;28389;174.8798523;2323;5557;7075;33241;22.6;17.7461586;28.84750366;20.98815918
2025-03-28 14:12:37;DS-0014;-39.59999847;-1045.400024;125.8000031;459;26736;14.13812351;121;447;532;3230;17.6;20.84933662;25.0213623;23.54629517
2025-03-28 14:12:37;DS-0015;-42;-1008.200012;191.4000092;426.5;32728;45.98193741;616;1459;1475;6087;8.55;16.46948051;26.68991089;22.56229401
2025-03-28 14:12:38;DS-0018;858.1999512;-288.7999878;465.2000122;511;32115;697.4744873;11898;22167;22822;43847;15.13;18.51006699;32.90710449;19.27783966
2025-03-28 14:12:43;DS-0012;-84.59999847;344.2000122;-709;466;42457;80.17266083;914;2547;3046;12842;16.23;17.7323246;29.38919067;20.75183868
2025-03-28 14:12:43;DS-0016;473.2000122;-171.3999939;-65.3999939;363.5;34605;117.8365784;1209;3744;4496;20717;18.77;18.68986702;30.67321777;20.27252197
2025-03-28 14:12:46;DS-0017;-271.6000061;250.7999878;-1081.800049;434.5;45230;146.9874115;1709;4670;5277;26798;21.3;19.18153763;28.42712402;21.46347046
2025-03-28 14:12:46;DS-0019;-553.5999756;413.7999878;-530.7999878;470.5;27033;651.4736938;9488;20706;27534;59695;22.91;18.28329659;28.87802124;20.98949432
2025-03-28 14:12:47;DS-0013;193.6000061;-432;-918.5999756;436;22142;158.7219849;2415;5043;6186;24797;6.93;18.11322975;26.9317627;22.0375824
2025-03-28 14:12:47;DS-0015;145.8000031;-961.2000122;206;427;22260;33.56152725;485;1065;1082;4254;6.76;16.54702759;26.84173584;22.53692627
2025-03-28 14:12:48;DS-0018;857.5999756;-272.7999878;446.5999756;511;28983;750.2895508;11893;23847;24340;49720;12.14;18.29347229;33.18710327;19.336586
2025-03-28 14:12:53;DS-0012;-246.3999939;226.4000092;-816.7999878;442;22132;96.08513641;1230;3051;3661;14227;8.77;17.67998123;29.93850708;20.85998535
2025-03-28 14:12:53;DS-0016;748.1999512;-88.19999695;506.7999878;369;27876;144.0364685;1396;4577;5526;26508;16.95;19.09670067;30.64193726;20.27118683
2025-03-28 14:12:54;DS-0014;-57.40000153;-1102.199951;114.7999954;460;39245;12.15614319;90;384;470;3283;14.32;19.17679214;25.03509521;23.66912842
2025-03-28 14:12:56;DS-0019;-407.4000244;181.1999969;66.3999939;460.5;25112;319.0421753;4601;10138;13142;45728;21.18;18.03277779;29.04434204;20.9828186
2025-03-28 14:12:57;DS-0013;324.2000122;-358;-890;438;47180;162.8872986;2357;5175;6311;25739;11.24;17.49008369;26.91955566;22.09098816
2025-03-28 14:12:57;DS-0015;41;-1056.800049;315.6000061;426.5;23162;26.26910019;335;833;840;3788;4.71;16.71517181;26.84020996;22.54226685
2025-03-28 14:12:58;DS-0018;972.1999512;-145.8000031;508.8000183;509;13572;151.876297;1954;4826;5409;23881;16.54;18.38235474;33.22067261;19.36462402
2025-03-28 14:13:04;DS-0016;690.3999634;21.60000229;314.6000061;381.5;34243;125.2611389;1194;3980;4974;25307;19.2;19.49954033;30.4649353;20.26050568
2025-03-28 14:13:05;DS-0014;-172;-1085;47.40000153;458;28527;33.36647797;270;1058;1332;7443;14.72;18.67007828;25.01907349;23.69182587
2025-03-28 14:13:06;DS-0019;-547;644.8000488;-295.7999878;456;31034;317.1608582;4469;10079;13431;38098;21.23;17.72692108;29.07714844;20.95878601
2025-03-28 14:13:07;DS-0013;235;-351;-876;437.5;24457;273.33078;4398;8686;10539;35614;11.23;17.11285782;26.81045532;22.13104248
2025-03-28 14:13:07;DS-0015;19.20000076;-973.2000122;81.19999695;425.5;49903;83.40675354;813;2649;3298;16641;4.71;16.77828789;26.77612305;22.53025055
2025-03-28 14:13:08;DS-0012;961.2000122;-107.5999985;-206.2000122;432.5;22912;152.5684052;1642;4847;6102;25532;10.36;18.28421211;29.93621826;20.94676971
2025-03-28 14:13:08;DS-0017;10;191.3999939;-1007.599976;437.5;48140;303.4819946;3618;9644;10507;53050;21.61;19.31046295;28.27072144;21.63837433
2025-03-28 14:13:13;DS-0018;895.2000122;-139.3999939;520.2000122;506.5;25192;125.3051758;1482;3981;4472;23338;7.79;18.50998688;33.29391479;19.38732147
2025-03-28 14:13:14;DS-0016;1106.400024;-41;145.1999969;396;21824;168.9276123;1277;5367;7103;36748;20.38;18.67653656;30.47943115;20.22979736
2025-03-28 14:13:15;DS-0014;41.40000153;-1109.800049;205.3999939;456;41576;44.1132164;215;1400;1722;12065;16.1;19.12081337;25.00762939;23.65844727
2025-03-28 14:13:16;DS-0019;25.3999939;163.1999969;857.3999634;558;33566;242.1602173;3403;7695;10348;42558;19.05;18.99575806;29.04281616;20.90938568
2025-03-28 14:13:17;DS-0013;184.6000061;-358.3999939;-946.5999756;436.5;18886;299.9962463;4834;9534;11393;40319;13.77;17.05971718;26.68228149;22.16175079
2025-03-28 14:13:17;DS-0015;106.1999969;-1167.599976;-51.40000153;421;46259;232.6404114;3758;7393;8868;27366;5.19;16.4553051;26.74102783;22.48886108
2025-03-28 14:13:18;DS-0012;982.2000122;-233.4000244;-437.3999939;436.5;42703;213.0345154;2352;6769;8516;34444;7.63;17.65494537;29.6043396;20.95211029
2025-03-28 14:13:19;DS-0017;74.79999542;250.8000031;-1236.400024;437.5;48624;289.0419312;3674;9187;10188;48648;22.1;19.18697929;28.22799683;21.67709351
2025-03-28 14:13:23;DS-0018;936.2000122;-174.6000061;558.4000244;506.5;34982;127.6458054;1498;4055;4486;23449;13.72;17.68878937;33.27255249;19.4367218
2025-03-28 14:13:25;DS-0014;-9.399999619;-1021.799988;51.40000153;457;40743;25.39451218;91;804;895;6707;16.08;18.93602753;25.06332397;23.56098175
2025-03-28 14:13:27;DS-0013;288;-382.7999878;-933;436;30616;294.201355;5252;10133;11772;37665;13.12;17.54749298;26.61437988;22.1710968
2025-03-28 14:13:28;DS-0012;1023;-162.3999939;-251.3999939;437;33828;130.7980957;1210;4155;5149;24749;8.32;16.83068275;29.34799194;20.88401794
2025-03-28 14:13:29;DS-0017;-85.80000305;153.8000031;-1017.400024;436.5;45429;276.0048828;3202;8771;9611;53733;23.31;19.14063835;28.19519043;21.72782898
2025-03-28 14:13:30;DS-0016;818;-314.6000061;483.2000122;401;38374;175.0497284;1590;5561;7781;39306;19.08;17.87987328;30.52215576;20.12432098
2025-03-28 14:13:31;DS-0019;-188.7999878;-135.6000061;299.5999756;580;28822;689.3200684;9814;21909;29594;62763;26.76;23.28887558;29.03518677;20.89069366
2025-03-28 14:13:32;DS-0015;-81.79999542;-1103.400024;121.6000061;421.5;25716;65.00894165;608;2064;2075;11235;9.46;15.95028687;26.83105469;22.47684479
2025-03-28 14:13:33;DS-0018;879.7999878;-155.6000061;561.5999756;506.5;38517;129.7158813;1489;4120;4659;23773;15.56;17.93341255;33.32138062;19.44473267
2025-03-28 14:13:35;DS-0014;-54.20000076;-1045;156;450;45142;34.57453918;59;1097;1232;9837;13.13;19.09313202;25.18386841;23.42479706
2025-03-28 14:13:38;DS-0012;911.8000488;-232.3999939;-516.7999878;432;42341;161.1003723;1651;5119;6367;28437;15.8;16.42900467;29.13818359;20.82660675
2025-03-28 14:13:38;DS-0013;315.7999878;-450.7999878;-808.2000122;432.5;40802;276.7284546;4436;8794;10337;39330;10.91;17.22068214;26.6998291;22.14172363
2025-03-28 14:13:39;DS-0017;-95.40000153;100.8000031;-1245.800049;437;37072;280.8182678;3431;8923;9820;51474;20.62;18.89062309;28.28979492;21.76521301
2025-03-28 14:13:41;DS-0016;237.2000122;-351;-243.2000122;410.5;33902;185.0854492;1886;5881;7748;35953;20.33;17.23243332;30.54428101;20.16036987
2025-03-28 14:13:41;DS-0019;-345.7999878;-254.3999939;550.7999878;530.5;30349;788.1799927;11190;25051;33763;61687;23.14;22.95704079;29.29229736;20.93875885
2025-03-28 14:13:43;DS-0015;68.3999939;-984.7999878;211.6000061;425;33999;133.547699;1280;4243;4491;22979;6.64;16.19972992;26.88217163;22.47951508
2025-03-28 14:13:43;DS-0018;871.3999634;-300.3999939;531.4000244;503.5;41226;129.8794708;1557;4126;4605;23274;14.12;18.19241333;33.45031738;19.47143555
2025-03-28 14:13:45;DS-0014;-90.59999847;-1031.799927;303.3999939;457.5;36058;56.35115051;323;1789;2081;14127;15.55;18.86494064;25.22201538;23.33267212
2025-03-28 14:13:48;DS-0012;907.2000122;-175;-665.4000244;422.5;27025;222.5228882;2488;7071;8837;35973;13.21;15.43838501;29.14199829;20.79723358
2025-03-28 14:13:49;DS-0017;-65;119.7999954;-1125.599976;436;33524;306.3448792;3755;9735;10541;54623;20.03;18.85776138;28.22494507;21.77055359
2025-03-28 14:13:51;DS-0016;245;19;-133.7999878;452;45600;143.9420776;1231;4573;5939;30612;22.44;17.30485725;30.41687012;20.21110535
2025-03-28 14:13:52;DS-0013;292.3999939;-537.4000244;-675.8000488;427;41964;270.1281433;4249;8585;10394;39606;5.33;16.72582817;26.72119141;22.10300446
2025-03-28 14:13:52;DS-0019;300.8000183;247;139.1999969;498;40438;381.3140869;5431;12118;15987;52617;20.38;20.11273956;29.29153442;20.93608856
2025-03-28 14:13:53;DS-0015;-90.79999542;-1146.599976;289.6000061;424;34016;106.7563705;1231;3391;3468;16506;6.47;15.83199406;26.82723999;22.50221252
2025-03-28 14:13:53;DS-0018;895.4000244;-179.2000122;538;499;33651;137.6437988;1611;4373;4856;24586;12.19;18.17320251;33.38165283;19.494133
2025-03-28 14:13:59;DS-0012;924.2000122;-219.8000031;-559.7999878;424;32239;233.5590515;2665;7422;9348;37539;9.58;15.04248238;29.24423218;20.7371521
2025-03-28 14:13:59;DS-0017;25.59999847;80.59999847;-1071.400024;434.5;27474;295.9064941;3928;9403;10249;47497;21.95;19.8531971;28.13568115;21.75052643
2025-03-28 14:14:00;DS-0014;-85.79999542;-1067.199951;340.5999756;424;32367;78.2724762;156;2486;3068;22196;19.8;19.27592087;25.21743774;23.25122833
2025-03-28 14:14:01;DS-0016;-823.5999756;115.1999969;-450.7999878;466;25862;204.5340271;2447;6500;8166;33135;27.94;17.17128372;30.38711548;20.20843506
2025-03-28 14:14:02;DS-0019;-770.6000366;880;533.4000244;521;40161;731.6903687;10466;23255;31149;58125;21.47;18.61260223;29.25949097;20.96279144
2025-03-28 14:14:03;DS-0013;151.4000092;-798.2000122;-462.1999817;435.5;35993;363.4385071;5668;11551;14115;50998;19.34;16.81482697;26.71661377;22.02423096
2025-03-28 14:14:03;DS-0015;59;-884.3999634;209.7999878;424;37694;101.0369415;1086;3210;3291;16232;8.81;15.56301975;26.89437866;22.5195694
2025-03-28 14:14:03;DS-0018;874.4000244;-152.5999908;524;500;32581;134.7305908;1467;4280;4792;24829;15.3;18.44537735;33.33969116;19.49813843
2025-03-28 14:14:10;DS-0014;-87.80000305;-1159.799927;83.3999939;415.5;42342;92.73778534;361;2945;3579;24647;7.4;18.82939911;25.47912598;23.19915771
2025-03-28 14:14:11;DS-0016;-908.5999756;260.6000061;-401.1999817;452;36413;270.19104;3261;8586;10950;42463;14.74;16.59719849;30.59997559;20.26317596
2025-03-28 14:14:12;DS-0019;-918.4000244;975;795.8000488;507;24381;781.7306519;11202;24847;33584;65533;16.86;16.9838829;29.22821045;20.8946991
2025-03-28 14:14:13;DS-0012;945.5999756;-118.3999939;-432;425;25860;152.989975;1452;4860;5996;28070;7.28;15.61208725;29.28161621;20.67440033
2025-03-28 14:14:13;DS-0013;238.7999878;-894.5999756;-434.3999939;437;35472;352.6665649;5523;11208;13584;49113;2.5;16.74567032;26.89743042;21.94011688
2025-03-28 14:14:13;DS-0015;85.79999542;-953.6000366;15.39999962;426;29960;127.8911972;1452;4063;4290;20031;2.06;15.71068287;26.91497803;22.61035919
2025-03-28 14:14:14;DS-0017;14.1999979;160.1999969;-1074.599976;423.5;7635;325.9004211;4337;10358;11309;52830;17.03;26.59674263;28.16390991;21.72115326
2025-03-28 14:14:21;DS-0014;-76.6000061;-1073.599976;130;423.5;52427;77.14620972;241;2450;3132;21587;11.24;18.00531578;25.25253296;23.14308167
2025-03-28 14:14:21;DS-0016;-923.2000122;271.7999878;-431.1999817;338.5;35510;287.0095825;3381;9122;11684;44551;16.01;16.81863022;30.54885864;20.25382996
2025-03-28 14:14:22;DS-0019;140.1999817;-809;257.5999756;483;56098;1064.071655;16133;33821;43125;65533;15.19;16.50765228;29.06341553;20.76519012
2025-03-28 14:14:23;DS-0013;211.6000061;-613.7999878;-622;438;22883;405.2362671;6376;12879;15125;54175;6.69;16.75750351;26.87072754;21.79325104
2025-03-28 14:14:23;DS-0015;-32.40000153;-1124;83.80000305;424.5;25952;76.03881836;658;2415;2475;14513;2.85;15.39588833;26.60064697;22.62771606
2025-03-28 14:14:24;DS-0012;1040.800049;-163;-503.5999756;308;37485;180.133667;1830;5724;7076;31278;8.61;16.51214981;29.06723022;20.52352905
2025-03-28 14:14:24;DS-0017;171;80.19999695;-1108;421;38544;388.5372925;5626;12348;13801;56717;18.3;21.07547188;27.96783447;21.63970947
2025-03-28 14:14:31;DS-0014;-65.79999542;-1090.199951;103.4000015;429;33223;88.83045197;502;2822;3632;23306;15.77;17.91081429;24.98474121;23.08700562
2025-03-28 14:14:31;DS-0018;654.8000488;-39.80000305;-194.1999969;545.5;23768;184.9785004;1903;5878;6435;34533;2.81;16.57582092;32.66372681;19.33258057
2025-03-28 14:14:33;DS-0013;186.1999969;-833.5999756;-538.7999878;439;29509;357.0206909;5609;11347;13716;50845;15.32;16.74778938;26.61743164;21.75987244
2025-03-28 14:14:34;DS-0012;1010.200012;-198.8000031;-628.5999756;291;35761;176.1004944;1860;5596;6908;30350;13.07;16.44182968;28.90625;20.40870667
2025-03-28 14:14:34;DS-0017;-53.00000381;28.39999771;-1148.800049;419;31403;572.1567383;9295;18185;20014;47399;21.79;19.95877457;27.72216797;21.55158997
2025-03-28 14:14:36;DS-0016;-887.3999634;300.6000061;-373.5999756;419.5;43437;375.7834167;4500;11943;15516;49902;21.76;16.43919754;30.15289307;20.1884079
2025-03-28 14:14:37;DS-0019;-89.79999542;-907.2000122;-41.59999847;424;46467;1034.908203;14798;32894;43299;65533;24.45;16.45806313;28.95965576;20.68107605
2025-03-28 14:14:38;DS-0015;-214;-987.1999512;168.1999969;423;36683;88.10687256;845;2799;2908;16204;9.69;14.67243767;26.33361816;22.61302948
2025-03-28 14:14:41;DS-0014;49.19999695;-988.5999756;-19.60000038;429;48623;82.47553253;250;2619;3428;23480;15.28;18.18202591;24.89013672;23.07498932
